Hindi,Telugu
मैं कभी इतना उत्साही नहीं था मेरी इस 30 दिन की चुनौतियों को प्रारंभ करने से पहले,"నేను ఈ 30 రోజుల సాధనను పాటించే ముందు, ఇంత సాహసికముగా లేదు."
मुझे यह भी पता चला कि यदि आप किसी चीज को पाने की दिली तमन्ना रखते हो तो आप उसे 30 दिन में कर सकते हो ,"నేను ఇంకొకటి కూడా చెప్తున్నాను, మీరు ఖటినముగా ఏదైనా ప్రయత్నిన్చాలంటే ఈ 30 రోజులలో మీరు దానిని చెయ్యవచ్చు."
क्या कभी आपने एक उपन्यास लिखने के बारे में सोचा है ? हर नवम्बर में,"మీకు ఎప్పుడైనా నావలు రాయాలనే కోరిక ఉందా ? ? ప్రతి సంవత్సరం నవంబర్ నెలలో,"
"हजारों लोग 50 ,000 शब्दों का उपन्यास 30 दिनों में लिखने का प्रयास करते हैं ","పది వేల కొద్ది జనాలు 50,000 పదాలలో వాళ్ళ మొట్టమొదటి నావలును 30 రోజులలో రాసేదానికి ప్రయత్నిస్తారు."
"होता यह है कि आप को एक दिन में 1 ,667 शब्द एक महीने तक लिखने होते हैं ","దీనికి మీరు చెయ్యవలసినది ఏమిటంటే ఒక రోజుకి 1,667 పదాలు చప్పున ఒక నెలకి రాయాలి."
तो मैंने किया ,అందుకనే నేను చేసాను.
वैसे राज की बात यह है कि तब तक सोने नहीं जाना होता था जब तक आप एक दिन के शब्दों को पूरा नहीं लिख लेते ,ఆ రహస్యమేమిటంటే ఒక రోజులో రాయవలసిన పదాలు రాసేంతవరకు నేను నిద్రపోను.
आप को शायद सोने न मिले पर आप अपनी उपन्यास पूरी कर लेंगे ,"మీరు మిధ్ర లేక భాదపడుతుంటారు, కాని మీరు మీ నవలను పూర్తిగా ముగిస్తారు."
अब क्या मेरी किताब अमेरिका की अगली प्रसिद्ध उपन्यास होगी ?,ఇప్పుడు నా నవలు అమెరికాలోనే గోప్పధైనదా ??
"बिलकुल नहीं , मैंने इस एक माह में लिखा है ",? కాదు.నేను దానిని ఒక నెలలోనే రాసాను.
यह बहुत ही ख़राब है ,ఇది చాలా ఘోరంగా అనిపిస్తుంది.
"पर मैं अपनी पूरी जिंदगी में , अगर जॉन होगमैन से TED पार्टी में मिलता हूँ, तो मुझे यह नहीं कहना होगा कि ""मैन एक कंप्यूटर वैज्ञानिक हूँ ""","కాని నా రాబోయే జీవితములో నేను జాన్ హోద్గ్మన్ను TED పార్టీలో కలిసానంటే, నేను ఒక కంప్యూటర్ శాస్త్రవేత్తా అని చెప్పాల్సిన నియమం లేదు."
"नहीं अगर मुझे कहना होगा तो मै कह सकता हूँ कि ""मैं एक उपन्यासकार हूँ """,నాకు కావాలంటే నేను ఒక రచయితా అని కూడా చెప్పవచు.
(हंसी) एक आखरी बात जो मैं बताना चाहूँगा ,(అందరూ నవ్వుతున్నారు) నేను చివరిగా ప్రస్తావించడానికి ఒకటుంది.
"इससे मैंने यह सिखा कि जब मैंने छोटे ,कायम रहने वाले परिवर्तन किये ऐसे कार्य जो मैं करते रह सकता था , उनकी हमेशा साथ रहने की संभावना बहुत अधिक होती है","నేను ఏమి నేర్చుకున్ననంటే ,నేను చేసే పనిలో చిన్న చిన్న మార్పులు చేసేటప్పుడు అది తొందరగా మనకు అలవాటవుతుంది."
बड़ी चुनौतियों को अपनाने में कोई गलत बात नहीं है,విచిత్రమయిన సవాళ్ళను ఎంచుకోవడంలో ఏమి తప్పు లేదు.
उसमे तो ज्यादा मजा है ,దానిలోనే ఎక్కువగా వినోదంఉంటుంది.
पर उनके हमेशा सांथ रहने की संभावना कम होती है ,కాని అవి మనకు తొందరగా అలవాతులోకి మారదు.
जब मैंने शक्कर 30 दिनों के लिए छोड़ी तब इकतीसवां दिन कुछ ऐसा था ,"నేను 30 రొజులకు చక్కెర తీసుకోవడం మానేసినప్పుడు, 31 రొజున నాకు ఇలాగే అనిపించింది."
(हंसी) तो मेरा सवाल आप लोगों से यह है कि: आप किस बात का इंतजार कर रहे हो ?,(అందరూ నవ్వుతున్నారు) మీకు నా ప్రశ్న ఇదే: మీరు దేనికోసరం ఎదురుచూస్తున్నారు ?
मेरा विश्वास कीजिये 30 दिन यूँ निकल जायेंगे चाहे आप उसे पसंद करें या ना करें तो क्यों ना कुछ सोचा जाये जो आप हमेशा करना चाहते थे और उसे अगले 30 दिनों तक,మీకు నా హామీ ఏమిటంటే మీరు వచ్చే 30 రోజులలో మీ ఇష్టానుసారముగా గడపాలనుకుంటారా కాదా. అందువలన మీరు ఎందుకు కొత్తగా ఆలోచించకూడదు. మీరు వచ్చే 30 రోజులలో ఎల్లప్పుడూ ప్రయత్నించాలని మరియు దాని
करने का प्रयास करते हैं ,ఫలితములను పొందాలని ఆసిస్తూ
धन्यवाद,ధన్యవాదములు.
(अभिवादन),(ప్రశంసలను)
"बहुत-बहुत धन्यवाद क्रिस । हर कोई जो यहाँ आया उन्होंने कहा कि वे डर गए थे । मुझे पता नहीं है अगर मैं डर रही हूँ तो, लेकिन यह इस तरह से एक दर्शकों को संबोधित करने का मेरा पहला अवसर है।","థ్యాంక్యూ వెరీ మచ్ ,క్రిస్.ఇక్కడికి వచ్చినవార౦దరూ కూడా భయపడ్డామని చెప్పారు.నేను భయపడ్తానో లేదో,నాకు తెలీదు, కానీ ఇలాంటి శ్రోతల ముందు మాట్లాడడం నాకిదే తొలిసారి."
और मेरे पास आपको दिखाने के लिए कोई भी स्मार्ट तक़नीक़ नहीं है।,మరియు మీకు చూపి౦చడానికి నా దగ్గర ఎటువంటి స్మార్ట్ టెక్నాలజీ లేదు.
"कोई स्लाइड नहीं, इसलिये आपको सिर्फ़ मुझसे ही सन्तुष्ट होना पड़ेगा ।","నా దగ్గర స్లయిడ్లు కూడా లేవు,అందుకే మీరు కేవలం నాతో తృప్తి పడవలసిందే."
(हँसी)। आज मैं आपके साथ कुछ कहानियाँ बांटना चाहती हूँ। और साथ ही एक अलग अफ्रीका के बारे में बात करना चाहती हूँ।,"(నవ్వులు). ఈ ఉదయం నేను మీతో కొన్ని కథల్ని షేర్ చేసుకు౦దామనుకు౦టున్నాను. ఈ ఉదయం నేనేంచేద్దామనుకుంటున్నానంటే, కొన్ని కథలు మీతో పంచుకుందామనుకుంటున్నాను. అ౦తేకాదు ఒక భిన్నమైన ఆఫ్రికా గురించి మాట్లాడదామనుకు౦టున్నాను."
"पहले से ही इस सुबह अफ्रीका के लिए कुछ भ्रम थे जिसके बारे में आप हर समय सुनते हैं: अफ्रीका में एचआईवी/एड्स, अफ्रीका में मलेरिया, अफ्रीका में ग़रीबी, अफ्रीका का संघर्ष, और अफ्रीका की आपदायें।","ఇప్పటికే ఈ రోజు ఉదయం ఆఫ్రికా అనగానే కొన్ని సంకేతాలు వెలువడ్డాయి మీరు ఎప్పుడూ వినేవే: హెచ్ఐవీ/ఎయిడ్స్ ఆఫ్రికా, మలేరియా ఆఫ్రికా, పేద ఆఫ్రికా, వివాదాలతో కూడిన ఆఫ్రికా, మరియు విపత్తులతో ని౦డిన ఆఫ్రికా."
"हालांकि यह सच है कि ये चीज़ें हो रही हैं, फ़िर भी एक अफ्रीका है जिसके बारे में आपने बहुत कुछ नहीं सुना है।","అలాంటి అంశాలు కొనసాగుతున్నది నిజమే అయినా, మీరు ఎప్పుడూ విననటువంటి ఆఫ్రికా మరొకటుంది."
और कभी-कभी मैं हैरान होकर अपने आप को पूछती हूँ क्यों ।,"ఆఫ్రికా రె౦డవ కోణ౦ గురి౦చి తెలియకపోవడ౦ చూసి ఒక్కోసారి నేను ఆశ్చర్యపోతుంటాను, ఎ౦దుకిలా జరుగుతు౦దని నన్ను నేనే ప్రశ్ని౦చుకు౦టాను."
"यह वो अफ्रीका है जो बदल रहा है, जिसका क्रिस ने उल्लेख किया है।","ఇది మారుతున్న ఆఫ్రికా, అదే క్రిస్ సూచించినట్లుగా."
यह अफ्रीका अवसर का है।,ఇది అవకాశాలున్న ఆఫ్రికా.
यह वो अफ़्रीका है जहाँ लोग अपने स्वयं के भविष्य और अपनी ही नियति का भार उठाना चाहते हैं।,ఎక్కడైతే ప్రజలు తమ భవిష్యత్తును మరియు తమ తలరాతల్ని తామే మార్చుకోవాలని కోరుకుంటున్నారో అదే ఈ ఆప్రికా. తమ భవిష్యత్తును మరియు తమ తలరాతల్ని తామే మార్చుకోవాలని కోరుకుంటున్నారు.
और यह वो अफ्रीका है जहाँ लोग यह करने के लिए साझेदारी की तलाश कर रहे हैं आज मैं इसके बारे में ही बात करना चाहती हूँ।,మరియు ఈ ఆఫ్రికాలో ప్రజలు దీనిని చెయ్యడం కోసం తమ భాగస్వామ్యం కోసం ఎదురుచూస్తున్నారు నేను ఈ రోజు దాని గురించి మాట్లాడలనుకుంటున్నాను.
और मैं आपको अफ़्रीका के बदलाव के बारे में एक कहानी बताकर शुरू करना चाहती हूँ।,నేను ఒక కథతో ప్రారంభిస్తాను. ఆఫ్రికాలో జరుగుతున్న మార్పు కథతో
"सितम्बर 2005 की 15 तारीख को, श्री डायप्रिये अल्मीसेघा, नाइजीरिया के तेल समृद्ध राज्यों के राज्यपाल, उनको लंदन मेट्रोपोलिटन पुलिस ने लंदन के लिए एक यात्रा पर गिरफ़्तार कर लिया।","సెప్టెంబర్ 15,2005 నాడు, మిస్టర్ డిప్రెయే అలీమెసిగా, చమురుతో సుసంపన్నమైన ఒకానొక నైజీరియా రాష్ట్రాల గవర్నర్, లండన్ పర్యటనలో ఉన్నప్పుడు లండన్ మెట్రోపాలిటన్ పోలీసులు అరెస్టు చేసారు."
उनको गिरफ़्तार किया गया क्योंकि उनसे और उनके परिवार से जुड़े $8 लाख का स्थानान्तरण कुछ निष्क्रिय खातों में चला गया ।,అతన్ని ఎందుకు అరెస్ట్ చేశారంటే అతను ఎనిమిది మిలియన్ డాలర్లను అక్రమంగా తన బినామీ ఎకౌంట్లకు తరలించుకున్నాడని ఆ ఎకౌంట్లు అతనికి మరియు అతని కుటుంభానికి చెందినవి.
"यह गिरफ़्तारी हुई क्योंकि लंदन मेट्रोपोलिटन पुलिस और आर्थिक और वित्तीय अपराध आयोग नाइजीरिया के बीच सहयोग था, जिसका नेतृत्व हमारे सबसे योग्य और साहसी लोगों में से एक: श्री नुहू रिबाडु द्वारा किया जा रहा था।",ఈ అరెస్టు సంభవించడానికి కారణం లండన్ మెట్రోపాలిటన్ పోలీసులకు మరియు నైజీరియా ఎకనామిక్ అ౦డ్ ఫైనాన్షియల్ క్రైమ్స్ ? విభాగాల మధ్య ఉన్నసహకారం -- ఈ స౦స్థ అత్యంత ప్రతిభావంతమైన మరియు ధైర్యశాలియైన మిస్టర్ నుహు రిబడు ఆధ్వర్యంలో పనిచేసింది.
अल्मीसेघा को लंदन में अपराधी बताया गया था।,అలీమెసిగాపై లండన్లో నేరారోపణలుచేయబడ్డాయి.
"कुछ नाकामी के कारण, वह एक महिला का रूप धारण करके बच निकलने में सफल हो गये। और लंदन से वापस नाइजीरिया भाग गए जहाँ से, हमारे संविधान के अनुसार, जैसा कि बहुत से अन्य देशों में भी है कि जो कार्यालय में राज्यपाल, राष्ट्रपति - के रूप में हैं और -- उन्मुक्त है उन पर मुक़दमा नहीं चलाया जा सकता। लेकिन क्या हुआ: लोग उनके व्यवहार से इतने क्रोधित थे कि उनकी राज्य विधायिका के लिए उन्हें दोषी ठहराना और कार्यालय से बाहर निकालना, यह संभव था ।","కొన్ని తప్పిదాల వల్ల, అతను ఒక ఆడమనిషి వేషంలో తప్పించుకొని లండన్ నుంచి నైజీరియా మరల చేరుకున్నాడు, అక్కడ, మా రాజ్యాంగాల ప్రకారం,చాలా దేశాల్లోలాగే గవర్నర్, అధ్యక్షుడు- వంటిపదవులలో ఉన్న వారిని ప్రాసిక్యూట్ చేయకుండా ఉండేందుకు రక్షణ కలిగి ఉన్నారు. కానీ ఏం జరిగింది: అతని ప్రవర్తనతో ఆగ్రఃహ౦ చె౦దిన ప్రజల కారణంగా అతణ్ని స్టేట్ అసెంబ్లీ అభిశంసనకు గురిచేసి పదవి నుంచి తొలగించి౦ది."
"आज, अल्म्स – जैसा हम उन्हें छोटे नाम में पुकारते हैं - जेल में है।","ఈరోజు, ఆలమ్స్-- మేం ముద్దుగా పిలుచుకునే పేరు- “జైళ్లో ఉన్నాడు”."
यह इस तथ्य के बारे में एक कहानी है कि अफ्रीका में लोग अब उनके नेताओं से भ्रष्टाचार बर्दाश्त करने को तैयार नहीं हैं।,ఈ కథ ఆఫ్రికా ప్రజలు యొక్క వాస్తవ పరిస్థితికి అద్ద౦ పడుతు౦ది. వారు తమ నాయకుల అవినీతిని ఇంక ఏమాత్రం సహించే పరిస్థితిలో లేరనే విషయాన్ని తెల్పుతుంది.
यह इस तथ्य के बारे में एक कहानी है कि लोग अपने संसाधनों का ठीक ढंग से प्रबंधन करना चाहते हैं ना कि ये कि उन्हें और अच्छे स्थानों के लिए बाहर ले जाया जाये जहाँ सिर्फ़ एक अभिजात वर्ग के कुछ लोग इसका लाभ लेंगे।,ఈకథ వల్ల ప్రజలు తమ వనరులు తమ మంచి కొరకు సక్రమంగా వినియోగించబడాలని ఇతర ప్రదేశాలకు తరలించరాదని అవి కొద్ది మంది ఉన్నతవర్గాల ప్రయోజనాలకోసం వాడొద్దని సూచిస్తుంది.
"और इसलिए, जब आप भ्रष्ट अफ्रीका के बारे में सुनते हैं -- भ्रष्टाचार हर समय – मैं चाहती हूँ कि आप जानें कि लोग और सरकार कुछ देशों में इस मुश्किल से लड़ने की कोशिश कर रहे हैं, और कुछ सफलताऍ भी उभर रही हैं।","అందువల్ల, మనం అవినీతిమయ ఆఫ్రికా గురించి విన్నపుడు -- ఎప్పుడూ అవినీతి గురి౦చే వింటాం -- అయితే ఇక్కడి ప్రజలు మరియు ప్రభుత్వాలు దీనికి వ్యతిరేకంగా పోరాడేందుకు తీవ్రంగా ప్రయత్నిస్తున్నాయని నేను చెప్పాలనుకు౦టున్నాను. కొన్ని దేశాలు ఈ విషయ౦లో మ౦చి ఫలితాలు కూడా సాధిస్తున్నాయి."
क्या इसका ये मतलब है कि यह समस्या ख़त्म हो गई है?,అలా అని సమస్య తీరిపోయిందా? అ౦టే కాదు అనే సమాధానం చెప్పుకోవాలి.
"इस सवाल का जवाब नहीं है। अभी भी जाने के लिए एक लंबा रास्ता है, लेकिन साथ ही हमारी इच्छा भी वहाँ है।","ఇంకా సాధించాల్సింది ఎంతో ఉంది,సాధించాలన్న ఆశయం కూడా ఉంది."
और इस बहुत महत्वपूर्ण लड़ाई के लिये सफलतायें तैयार की जा रही हैं।,ఈ ముఖ్యమైన యుద్ధంలో విజయాలు కూడా లభిస్తున్నాయి.
"तो जब आप भ्रष्टाचार के बारे में, सुनें तो सिर्फ़ यह महसूस ना करें कि इस बारे में कुछ भी नहीं किया जा रहा है -- कि आप भारी भ्रष्टाचार की वजह से किसी भी अफ्रीकी देश में काम नहीं कर सकते । ऐसा नहीं है।","కాబట్టి మీరు అవినీతిని గురించి విన్నపుడు, అక్కడ అవినీతికి వ్యతిరేక౦గా ఏమీ జరగడం లేదని అనుకోకండి -- అలాగే ఆఫ్రికాలో పెచ్చుమీరిన అవినీతి మూలంగా మనం పని చేయలేమని కూడా అనుకోకండి. అది ఏ మాత్రం నిజం కాదు."
"वहाँ लड़ने की एक इच्छा है, और कई देशों में, लड़ाई चल रही है और जीती जा रही है। अन्य शब्दों में, जैसे मेरे देश में जहां नाइजीरिया में तानाशाही का एक लंबा इतिहास रहा है, लड़ाई चल रही है और हमें आगे बढ़ने के लिए एक लंबा रास्ता तय करना है।","యుద్ధం చేయాలన్న సంకల్పం ఉంది, చాలా దేశాలలో, ఈ యుద్ధం కొనసాగుతోంది కొన్ని చోట్ల విజయాలు దక్కుతున్నాయి. మా నైజీరియా వంటి ధీర్ఘకాలిక నియంత పాలన చరిత్ర కలిగిన దేశాలలో కూడా ఈ యుద్ధం కొనసాగుతోంది. ఈ విషయ౦లో చాలా దూరం ప్రయాణించాల్సి ఉంది."
लेकिन इस मामले की सच्चाई यह है कि यह चल रहा है।,నిజమైన విషయం ఏంటంటే అది కొనసాగుతోంది.
"परिणाम दिखा रहे हैं: विश्व बैंक और अन्य संगठनों द्वारा स्वतंत्र निगरानी दिखा रही है कि कई मामलों में ये रुझान नीचे है भ्रष्टाचार के मामले में, और प्रशासन में सुधार है।",ఫలితాలు కనిపిస్తున్నాయి: ప్రపంచ బ్యాంకు మరియు ఇతర సంస్థల స్వతంత్ర పర్యవేక్షణలో చాలా స౦దర్భాలలో ఈ అవినీతి ధోరణిలోతగ్గుదల కనిపిస్తోంది మరియు పరిపాలన మెరుగుపడుతోంది.
अफ्रीका के लिए आर्थिक आयोग द्वारा एक अध्ययन अफ्रीकी देशों में शासन में एक स्पष्ट रुझान ऊपर की ओर दिखाता है ।,ఎకనామిక్ కమిషన్ ఫర్ ఆఫ్రికా యొక్క అధ్యయనం ప్రకార౦ 28 ఆఫ్రికా దేశాలలో పరిపాలన విషయంలో స్పష్టమైన ఉన్నతి ధోరణిలు కనిపిస్తున్నాయి.మెరుగుదల కనిపి౦చి౦ది.
और मुझे बस एक और बात कहनी है इससे पहले कि मैं शासन के इस क्षेत्र को छोड़ दूँ ।,మరియు నన్ను మరో విషయం చెప్పనివ్వండి ఈ పరిపాలనా అంశం నుంచి వెళ్లేముందు.
"यह है कि लोग भ्रष्टाचार, भ्रष्टाचार के बारे में बात कर रहे हैं।","ప్రజలు అవినీతీ, అవినీతీ అంటూ మాట్లాడుతుంటారు."
"हर समय, जब भी वे इस बारे में बात करते हैं आप तुरंत अफ्रीका के बारे में सोचते हैं।",అలా మాట్లాడినప్పుడల్లా మీరు ఆఫ్రికా గురించే ఆలోచిస్తారు.
"यह छवि: अफ्रीकी देशों की है। लेकिन मैं यह कहना चाहूँगी: अगर अल्मैस लंदन में एक ख़ाते में $8 करोड़ का निर्यात करने में सक्षम था -- अगर अन्य लोगों ने जो पैसा लिया था जो अनुमान लगाया गया कि लगभग 20 से 40 अरब था, अब ये विकासशील देशों का पैसा है जो अब विदेशों में विकसित देशों में बैठे हैं – यदि वे ऐसा करने में सफल रहे हैं, तो ये क्या है? क्या ये भ्रष्टाचार नहीं है?","అది ఆఫ్రికా దేశాల యొక్క ఇమేజీ. కానీ నన్ను ఇది చెప్పనివ్వండి: ఈ అలామా లండన్ లోని ఒక ఎకౌంటుకు 8 మిలియన్ డాలర్లు పంపించగలిగాడంటే -- ఇంకా ఇలా డబ్బు తిన్న ఇతరుల గురించి వేసిన అంచనాలలో వర్ధమాన దేశాల యొక్క నిధుల్లో 20 నుంచి 40 బిలియన్లు బయటికి తరలిపోయి అభివృద్ధి చెందిన దేశాలకు చేరాయి -- వాళ్ళు కూడా ఇలా చేయగలిగారంటే, దానిని ఏమనాలి? అది మాత్రం అవినీతి కాదా?"
"इस देश में, यदि आप चोरी के सामान को प्राप्त करते हैं, तो क्या आप पर मुक़दमा नहीं चलाया जायेगा?","ఈ దేశంలో, మీరు దొంగ వస్తువులు స్వీకరిస్తే, మీరు ప్రాసిక్యూట్ చేయబడరా?"
"तो जब हम भ्रष्टाचार के बारे में इस तरह की बात करते हैं तो हमें ये भी सोचना चाहिये, कि दुनिया के दूसरे किनारे पर क्या हो रहा है -- पैसा कहाँ जा रहा है और इसे रोकने के लिए क्या किया जा सकता है।","అందుకే మనం ఇటువంటి అవినీతి గూర్చి మాట్లాడేటపుడు, ఆలోచించాల్సిందేమిటంటే ప్రపంచంలోని అవతలి భాగంలో ఏం జరుగుతుందో గమనించండి -- ఈ డబ్బు ఎక్కడికి వెళ్తోంది మరియు దీన్ని నిరోధించడానికి ఏంచేయాలి."
"मैं अब विश्व बैंक के साथ परिसंपत्ति वसूली पर, एक पहल पर काम कर रही हूँ, कोशिश कर रही हूँ ये जानने की, कि हम क्या कर सकते हैं वो पैसा वापस पाने के लिए जो कि विदेशों में ले लिया गया है -- विकासशील देशों का धन - उसे वापस पाने के लिए।",నేను ప్రపంచబ్యాంకు మద్దతుతో ఈ నిధుల రికవరీ అభిప్రాయ నివేదికమీద ఇప్పుడు పనిచేస్తున్నాను. ఈ విషయ౦లో మాకు సాధ్యమయ్యింది చేయడానికి బయటి దేశాలకు తరలిపోయిన ధనాన్ని వెనుకకు రప్పించేందుకు -- వర్ధమాన దేశాల ధనాన్ని - స్వీకరించి వెనుకకు పంపేందుకు ప్రయత్న౦ చేస్తున్నాను.
"क्योंकि अगर हम वहाँ बाहर बैठे, 20 अरब डॉलर वापस प्राप्त कर सकते हैं तो इनमें से कुछ देशों के लिये ये एक साथ रखी जाने वाली सारी सहायता से भी अधिक हो सकता है।","ఎందుకంటే మనం అక్కడికి తరలిపోయిన 20 బిలియన్ డాలర్లను వెనక్కి తేగలిగితే, అది ఈ ఈ దేశాలకు చాలామొత్తం అవుతుంది ఈ దేశాలకు అందించే సహాయం అంతా కలుపుకున్నదానికంటే ఎక్కువ కూడా!"
(तालियां)। दूसरी चीज़ जिसके बारे में मैं बात करना चाहती हूँ वो है सुधार के लिये इच्छा।,(చప్పట్లు) నేను మాట్లాడదల్చుకున్న రెండో అంశం సంస్కరణల పట్ల ఉన్న సంకల్పం గురించి.
"अफ्रीकियों, के बाद - वे थक गए हैं, सब का दान और देखभाल का विषय होने के कारण हम थके हुए हैं ।","ఆఫ్రికన్లు, బాగా అలసి పోయారు, మేము కూడా అలసిపోయాము. ఇతర దేశాల యొక్క దయా దాక్షిణ్యాల పైన ఆధారపడీ పడీ."
"हम आभारी हैं, लेकिन हम जानते हैं कि अगर हममें सुधार की इच्छा हो तो, हम अपनी नियति को सुधारने की ज़िम्मेदारी ले सकते हैं ।","మేం చాలా కృతజ్ఞులం, కానీ మాకు తెలుసు మాకు సంస్కరణల పట్ల చిత్తశుద్ధి ఉంటే మా తలరాతల్ని మేము మార్చుకోగలం."
और कई अफ्रीकी देशों में अब जो हो रहा है वो एक अनुभूति है कि हमारे अलावा कोई भी यह नहीं कर सकता । हम उसे करना ही है।,మరియు ఇప్పుడు ఎన్నో ఆఫ్రికా దేశాలు ఈ వాస్తవాన్ని గ్రహిస్తున్నాయి. అదేమిటంటే మనం తప్ప ఇంకెవరో వచ్చి ఇక్కడ ఏమీ చేయలేరు.
"हम साझीदारों को आमंत्रित कर सकते हैं जो हमारा समर्थन कर सकते हैं, लेकिन हम शुरुआत करनी ही है।","మనం మాత్రమే చేయాలి. మనం మనకు మద్దతునిచ్చేవారిని భాగస్వాములుగా ఆహ్వానించవచ్చు, కానీ మనమే ప్రారంభించాలి."
"हम हमारी अर्थव्यवस्थाओं में सुधार करना है, हमारे नेतृत्व में परिवर्तन लाना है, और अधिक लोकतांत्रिक बनना है और जानकारी में बदलाव लाने के लिए और अधिक खुला होना है।","మనం మన ఎకానమీలను సంస్కరించుకోవాలి, మన నాయకత్వాన్ని మార్చాలి., మరింత ప్రజాస్వామికంగా మారాలి, మరింత మార్పుకు, సమాచార మార్పిడికి సిద్ధంకావాలి."
"और हमने महाद्वीप सबसे बड़े देशों में से एक, नाइजीरिया में यह करने की शुरुआत कर दी है।","మేము ఇలా చెయ్యడం ప్రార౦భి౦చా౦ ఈ ఖండం లోని అతిపెద్ద దేశాలలో,నైజీరియా ఒకటి"
"वास्तव में, अगर आप नाइजीरिया में नहीं हो, तो आप अफ्रीका में नहीं हो।","ఒకమాట చెప్పాలంటే, మీరు నైజీరియాలో లేకపోతే, మీరు ఆఫ్రికాలో లేనట్లే."
मैं आपको बताना चाहती हूँ कि।,నేను మీకు చెప్పాలనుకుంటున్నది ఇదే!
"(हँसी)। चार सब सहारा अफ्रीकी में एक नाइजीरिया का है, और यहाँ 140 मिलियन को गतिशील लोग- अराजक लोग लेकिन बहुत दिलचस्प लोग - हैं आप कभी बोर नहीं होंगे।",(నవ్వులు). ప్రతి నలుగురు సబ్ సహారా ఆఫ్రికన్ లలో ఒకరు నైజీరియన్. అందులో నూట నలభైమిలియన్ల డైనమిక్ ప్రజలున్నారు -- అసంగ్దితంలో ఉన్న ప్రజలు -- కానీ చాలా ఆసక్తికరమైన ప్రజలు. మీరు ఎప్పటికీ విసుగు చెందరు.
